Constituency no.,Constituency ,Party that won 
1,Punalur,Others
2,Chadayamangalam,Others
3,Kundara,CPM
4,Kollam,CPM
5,Eravipuram,Others
6,Chathannur,Others
7,Varkala,INC
8,Attingal ,CPM
9,Chirayinkeezhu ,Others
10,Nedumangad,INC
11,Vamanapuram,CPM
12,Kazhakkoottam,INC
13,Vattiyoorkavu,INC
14,Thiruvananthapuram,INC
15,Nemom,CPM
16,Aruvikkara,INC
17,Parassala,INC
18,Kattakkada,INC
19,Kovalam,Others
20,Neyyattinkara,CPM
21,Manjeshwar,MUL
22,Kasaragod,MUL
23,Udma,CPM
24,Kanhangad,Others
25,Trikaripur,CPM
26,Payyannur,CPM
27,Kalliasseri,CPM
28,Taliparamba,CPM
29,Irikkur,INC
30,Azhikode,MUL
31,Kannur,INC
32,Dharmadam,CPM
33,Thalassery,CPM
34,Kuthuparamba,Others 
35,Mattannur,CPM
36,Peravoor,INC
37,Mananthavady ,INC
38,Sulthanbathery ,INC
39,Kalpetta,Others 
40,Vadakara,Others
41,Kuttiadi,CPM
42,Nadapuram,Others
43,Quilandy,CPM
44,Perambra,CPM
45,Balusseri ,CPM
46,Elathur,Others
47,Kozhikode North,CPM
48,Kozhikode South,MUL
49,Beypore,CPM
50,Kunnamangalam,Others
51,Koduvally,MUL
52,Thiruvambady,MUL
53,Kondotty,MUL
54,Eranad,MUL
55,Nilambur,INC
56,Wandoor ,INC
57,Manjeri,MUL
58,Perinthalmanna,MUL
59,Mankada,MUL
60,Malappuram,MUL
61,Vengara,MUL
62,Vallikkunnu,MUL
63,Tirurangadi,MUL
64,Tanur,MUL
65,Tirur,MUL
66,Kottakkal,MUL
67,Thavanur,Others 
68,Ponnani,CPM
69,Thrithala,INC
70,Pattambi,INC
71,Shornur,CPM
72,Ottapalam,CPM
73,Kongad ,CPM
74,Mannarkad,MUL
75,Malampuzha,CPM
76,Palakkad,INC
77,Tarur ,CPM
78,Chittur,INC
79,Nenmara,CPM
80,Alathur,CPM
81,Chelakkara ,CPM
82,Kunnamkulam,CPM
83,Guruvayoor,CPM
84,Manalur,INC
85,Wadakkanchery,INC
86,Ollur,INC
87,Thrissur,INC
88,Nattika ,Others 
89,Kaipamangalam,Others 
90,Irinjalakkuda,Others 
91,Puthukkad,CPM
92,Chalakkudy,CPM
93,Kodungallur,INC
94,Perumbavoor,CPM
95,Angamaly,Others
96,Aluva,INC
97,Kalamassery,MUL
98,Paravur,INC
99,Vypen,CPM
100,Kochi,INC
101,Thripunithura,INC
102,Eranakulam,INC
103,Thrikkakara,INC
104,Kunnathunad ,INC
105,Piravom,Others
106,Muvattupuzha,INC
107,Kothamangalam,Others
108,Devikulam ,CPM
109,Udumbanchola,CPM
110,Thodupuzha,Others
111,Idukki,Others
112,Peerumade,Others
113,Pala,Others
114,Kaduthuruthy,Others
115,Vaikom ,Others
116,Ettumanoor,CPM
117,Kottayam,INC
118,Puthuppally,INC
119,Changanassery,Others
120,Kanjirappally,Others
121,Poonjar,Others
122,Aroor,CPM
123,Cherthala,Others
124,Alappuzha,CPM
125,Ambalapuzha,CPM
126,Kuttanad,Others
127,Haripad,INC
128,Kayamkulam,CPM
129,Mavelikara ,CPM
130,Chengannur,INC
131,Thiruvalla,Others
132,Ranni,CPM
133,Aranmula,INC
134,Konni,INC
135,Adoor  ,Others
136,Karunagappally,Others
137,Chavara,Others
138,Kunnathur ,Others
139,Kottarakkara,CPM
140,Pathanapuram,Others
