Constituency no.,Constituency ,Party (2014)
1,Bagalkot,BJP
2,Bangalore Central,BJP
3,Bangalore North,BJP
4,Bangalore Rural,INC
5,Bangalore South,BJP
6,Belgaum,BJP
7,Bellary,BJP
8,Bidar,BJP
9,Bijapur,BJP
10,Chamarajanagar,INC
11,Chikkballapur,INC
12,Chikkodi,INC
13,Chitradurga,INC
14,Dakshina Kannada,BJP
15,Davanagere,BJP
16,Dharwad,BJP
17,Gulbarga,INC
18,Hassan,Others
19,Haveri,BJP
20,Kolar,INC
21,Koppal,BJP
22,Mandya,Others
23,Mysore,BJP
24,Raichur,INC
25,Shimoga,BJP
26,Tumkur,INC
27,Udupi Chikmagalur,BJP
28,Uttara Kannada,BJP
